algorithm,platform,input_size,runtime_us,recompute_events,memory_access_proxy,observed_regime
Needleman-Wunsch,Darwin,10000,2308042,90250000,209770001,MEMORY_BOUND
Needleman-Wunsch,Darwin,50000,57175454,2256250000,5243850001,MEMORY_BOUND
Needleman-Wunsch,Linux,10000,1957673,90250000,209770001,MEMORY_BOUND
Needleman-Wunsch,Linux,50000,49638676,2256250000,5243850001,MEMORY_BOUND
Forward,Darwin,10000,878,9500,20000,BALANCED
Forward,Darwin,100000,5989,95000,200000,BALANCED
Forward,Darwin,1000000,55244,950000,2000000,BALANCED
Forward,Linux,10000,558,9500,20000,BALANCED
Forward,Linux,100000,5770,95000,200000,BALANCED
Forward,Linux,1000000,57374,950000,2000000,BALANCED
Graph-DP,Darwin,10000,740,44008,42105,RECOMPUTATION_DOMINATED
Graph-DP,Darwin,100000,4658,439888,420936,RECOMPUTATION_DOMINATED
Graph-DP,Darwin,250000,11582,1100296,1052656,RECOMPUTATION_DOMINATED
Graph-DP,Linux,10000,467,44008,42105,RECOMPUTATION_DOMINATED
Graph-DP,Linux,100000,4513,439888,420936,RECOMPUTATION_DOMINATED
Graph-DP,Linux,250000,11199,1100296,1052656,RECOMPUTATION_DOMINATED
