algorithm,platform,runtime_us,recompute_events,compute_events,memory_access_proxy,working_set_proxy,dataset_scale,input_size,status
Needleman-Wunsch,Darwin,2308042,90250000,190250000,209770001,80008,EXTREME,10000,Success
Needleman-Wunsch,Darwin,57175454,2256250000,4756250000,5243850001,400008,EXTREME,50000,Success
Forward,Darwin,878,9500,29500,20000,8032,EXTREME,10000,Success
Forward,Darwin,3339,47500,147500,100000,40032,EXTREME,50000,Success
Forward,Darwin,5989,95000,295000,200000,80032,EXTREME,100000,Success
Forward,Darwin,27753,475000,1475000,1000000,400032,EXTREME,500000,Success
Forward,Darwin,55244,950000,2950000,2000000,800032,EXTREME,1000000,Success
Graph-DP,Darwin,740,44008,55010,42105,40000,EXTREME,10000,Success
Graph-DP,Darwin,2704,219932,274915,210456,200000,EXTREME,50000,Success
Graph-DP,Darwin,4658,439888,549860,420936,400000,EXTREME,100000,Success
Graph-DP,Darwin,11582,1100296,1375370,1052656,1000000,EXTREME,250000,Success
